Variable,MSE_Baseline,MSE_NAFM,Coverage_Baseline,Coverage_NAFM,IntervalWidth_Baseline,IntervalWidth_NAFM
PowerConsumption_Zone1,50910038.22344129,48505847.20619056,0.056371613887829075,0.925982449446776,1336.9297404598146,23310.328830694387
PowerConsumption_Zone2,37933991.03892917,1770332.4793379637,0.03853491033956505,0.9296070202212896,887.2908455014258,4195.834288964135
PowerConsumption_Zone3,62062054.68990249,2120412.9623931707,0.016787485692483783,0.9303700877527661,950.6745130632844,4017.8480766978255
